ID,source,valence,arousal,old_fname,visVal,visArous
2880,SMID,5.286,2.59249486953972,NaN,4.606,4.0299
7113,OASIS,5.3715847002089,1.29484029389888,NaN,4.6066,4.6357
325,IAPS,5.02894356005789,3.07460035523979,2200,4.6073,5.1846
3029,SMID,5.068,2.50806215186162,NaN,4.6111,4.8212
4507,OASIS,4.63812993437065,2.57305407748204,NaN,4.6193,4.8314
5106,EmoMadrid,5,2.13978494623656,NaN,4.6203,5.1028
6474,GAPED,4.74105753485959,2.87061963466627,NaN,4.6235,3.7742
4822,EmoMadrid,4.51086956521739,2.1505376344086,NaN,4.6276,4.9257
2258,SMID,5.258,3.44854881266491,NaN,4.6278,4.9668
6424,GAPED,5.26659072648312,2.18820117618514,NaN,4.6371,4.409
2422,SMID,5.13,3.31251832307241,NaN,4.6388,5.2952
6465,GAPED,5.58000671256979,2.64860024725306,NaN,4.6388,4.3756
1031,IAPS,5.00578871201158,2.3214920071048,7705,4.6394,4.2434
7946,OASIS,5.3715847002089,2.08108108027625,NaN,4.6395,4.2528
4334,OASIS,5.60776569501446,2.53450537819665,NaN,4.6418,4.5122
6401,GAPED,4.95878888967993,3.1707432611986,NaN,4.6448,3.1909
6028,GAPED,5.38847472107238,3.44563321047706,NaN,4.6558,4.5195
259,EmoPics,5.23899371069182,2.78407079646018,192,4.6566,4.6355
4473,OASIS,5.51946834008261,1.78280575404296,NaN,4.6571,4.7345
2291,SMID,5.388,3.44854881266491,NaN,4.665,4.5941
2395,SMID,4.6,2.42362943418352,NaN,4.666,5.0266
4332,OASIS,5.59304946944021,1.72498270511486,NaN,4.6664,4.6108
934,IAPS,4.61215629522431,2.17939609236234,7060,4.6669,4.885
2490,SMID,5.068,2.03430079155673,NaN,4.6774,3.9681
5203,EmoMadrid,5.3804347826087,1.83870967741935,NaN,4.6783,5.2495
215,EmoPics,5.38993710691824,1.55221238938053,162,4.6829,4.8338
7545,GAPED,5.08872796802376,3.28378643805386,NaN,4.6853,5.7572
3188,SMID,4.878,2.98885957197303,NaN,4.692,5.1362
1759,SMID,4.448,2.5197889182058,NaN,4.6924,5.6054
821,IAPS,5.51519536903039,2.23623445825933,5740,4.6927,5.3012
6524,SFIP,5.16613418530351,2,NaN,4.6965,5.3234
503,IAPS,5.63096960926194,3.18827708703375,2745.1,4.7035,4.7272
921,IAPS,5.26049204052098,2.25044404973357,7041,4.7045,4.9607
3003,SMID,5.462,1.85136323658751,NaN,4.7047,4.6831
6438,GAPED,4.67059589312775,2.77633996141004,NaN,4.7047,4.4607
7430,OASIS,5.60473588404168,1.31449631534505,NaN,4.7058,3.1012
6441,GAPED,4.64203695981612,2.65839793878754,NaN,4.7105,4.0241
2481,SMID,4.758,3.20932277924362,NaN,4.7111,4.6812
146,EmoPics,5.47798742138365,2.11858407079646,123,4.7181,5.4705
6393,GAPED,5.6240248975316,2.11453362757218,NaN,4.7192,4.913
5061,EmoMadrid,5.59782608695652,2.67741935483871,NaN,4.7199,4.1503
2716,SMID,5.304,3.48372911169745,NaN,4.7201,4.133
421,IAPS,5.00578871201158,2.33570159857904,2480,4.724,5.2344
267,EmoPics,5.21383647798742,1.56637168141593,194,4.7266,4.4379
936,IAPS,5.49204052098408,2.26465364120781,7090,4.7269,5.0987
1630,SMID,5.458,3.17883318674875,NaN,4.7316,3.6627
3578,SMID,5.25,2.84344766930519,NaN,4.7334,4.8192
913,IAPS,4.71635311143271,1.4404973357016,7031,4.7336,5.6113
7107,OASIS,5.5341845671432,1.33949571821667,NaN,4.7346,3.9848
269,EmoPics,5.20125786163522,1.43893805309735,196,4.7347,4.0814
4364,OASIS,4.77575389625494,2.35380835377055,NaN,4.7471,4.611
7435,OASIS,5.32815740613098,1.62861095888663,NaN,4.7474,3.7047
7984,OASIS,4.77575389625494,2.18200718104044,NaN,4.7477,4.6251
964,IAPS,5.06367583212735,2.0088809946714,7217,4.7496,4.4006
